,dt,item_topic,source_topic,age_segment,record_id,visits
0,2019-09-24 18:28:00,Деньги,Деньги,36-40,1,1
1,2019-09-24 18:28:00,Деньги,Дети,18-25,1,1
2,2019-09-24 18:28:00,Деньги,Дети,31-35,1,1
3,2019-09-24 18:28:00,Деньги,Дети,36-40,1,1
4,2019-09-24 18:28:00,Деньги,Дети,41-45,1,1
5,2019-09-24 18:28:00,Деньги,Знаменитости,18-25,1,1
6,2019-09-24 18:28:00,Деньги,Знаменитости,36-40,1,1
7,2019-09-24 18:28:00,Деньги,Кино,18-25,1,1
8,2019-09-24 18:28:00,Деньги,Кино,31-35,1,1
9,2019-09-24 18:28:00,Деньги,Музыка,36-40,1,1
10,2019-09-24 18:28:00,Деньги,Политика,26-30,1,1
11,2019-09-24 18:28:00,Деньги,Психология,18-25,1,2
12,2019-09-24 18:28:00,Деньги,Путешествия,18-25,1,1
13,2019-09-24 18:28:00,Деньги,Россия,18-25,1,2
14,2019-09-24 18:28:00,Деньги,Россия,36-40,1,1
15,2019-09-24 18:28:00,Деньги,Семья,41-45,1,1
16,2019-09-24 18:28:00,Деньги,Спорт,18-25,1,2
17,2019-09-24 18:28:00,Деньги,Строительство,18-25,1,1
18,2019-09-24 18:28:00,Деньги,Технологии,18-25,1,1
19,2019-09-24 18:28:00,Деньги,Финансы,18-25,1,2
20,2019-09-24 18:28:00,Дети,Авто,18-25,1,1
21,2019-09-24 18:28:00,Дети,Дети,26-30,1,1
22,2019-09-24 18:28:00,Дети,Дети,45+,1,1
23,2019-09-24 18:28:00,Дети,Еда,18-25,1,2
24,2019-09-24 18:28:00,Дети,Еда,26-30,1,1
25,2019-09-24 18:28:00,Дети,Знаменитости,36-40,1,3
26,2019-09-24 18:28:00,Дети,Интерьеры,18-25,1,1
27,2019-09-24 18:28:00,Дети,Искусство,18-25,1,1
28,2019-09-24 18:28:00,Дети,История,18-25,1,1
29,2019-09-24 18:28:00,Дети,История,26-30,1,1
30,2019-09-24 18:28:00,Дети,История,36-40,1,1
31,2019-09-24 18:28:00,Дети,Кино,18-25,1,1
32,2019-09-24 18:28:00,Дети,Кино,26-30,1,1
33,2019-09-24 18:28:00,Дети,Одежда,18-25,1,2
34,2019-09-24 18:28:00,Дети,Одежда,36-40,1,1
35,2019-09-24 18:28:00,Дети,Полезные советы,18-25,1,2
36,2019-09-24 18:28:00,Дети,Полезные советы,26-30,1,1
37,2019-09-24 18:28:00,Дети,Полезные советы,31-35,1,1
38,2019-09-24 18:28:00,Дети,Политика,26-30,1,1
39,2019-09-24 18:28:00,Дети,Путешествия,18-25,1,1
40,2019-09-24 18:28:00,Дети,Ремонт,26-30,1,1
41,2019-09-24 18:28:00,Дети,Россия,26-30,1,1
42,2019-09-24 18:28:00,Дети,Сделай сам,18-25,1,1
43,2019-09-24 18:28:00,Дети,Семейные отношения,18-25,1,1
44,2019-09-24 18:28:00,Дети,Семейные отношения,26-30,1,1
45,2019-09-24 18:28:00,Дети,Семья,18-25,1,1
46,2019-09-24 18:28:00,Дети,Финансы,26-30,1,1
47,2019-09-24 18:28:00,Женская психология,Деньги,31-35,1,1
48,2019-09-24 18:28:00,Женская психология,Дети,31-35,1,1
49,2019-09-24 18:28:00,Женская психология,Знаменитости,18-25,1,1
50,2019-09-24 18:28:00,Женская психология,Кино,18-25,1,1
51,2019-09-24 18:28:00,Женская психология,Кино,26-30,1,2
52,2019-09-24 18:28:00,Женская психология,Одежда,18-25,1,1
53,2019-09-24 18:28:00,Женская психология,Одежда,26-30,1,1
54,2019-09-24 18:28:00,Женская психология,Полезные советы,26-30,1,1
55,2019-09-24 18:28:00,Женская психология,Психология,18-25,1,1
56,2019-09-24 18:28:00,Женская психология,Психология,31-35,1,2
57,2019-09-24 18:28:00,Женская психология,Психология,36-40,1,1
58,2019-09-24 18:28:00,Женская психология,Семейные отношения,26-30,1,1
59,2019-09-24 18:28:00,Женская психология,Семейные отношения,31-35,1,3
60,2019-09-24 18:28:00,Женская психология,Семья,18-25,1,1
61,2019-09-24 18:28:00,Женская психология,Семья,31-35,1,1
62,2019-09-24 18:28:00,Женщины,Авто,26-30,1,1
63,2019-09-24 18:28:00,Женщины,Авто,31-35,1,1
64,2019-09-24 18:28:00,Женщины,Деньги,31-35,1,1
65,2019-09-24 18:28:00,Женщины,Здоровье,18-25,1,1
66,2019-09-24 18:28:00,Женщины,Здоровье,41-45,1,1
67,2019-09-24 18:28:00,Женщины,Искусство,18-25,1,1
68,2019-09-24 18:28:00,Женщины,Искусство,31-35,1,1
69,2019-09-24 18:28:00,Женщины,Искусство,36-40,1,1
70,2019-09-24 18:28:00,Женщины,История,18-25,1,1
71,2019-09-24 18:28:00,Женщины,Кино,18-25,1,1
72,2019-09-24 18:28:00,Женщины,Одежда,18-25,1,1
73,2019-09-24 18:28:00,Женщины,Одежда,26-30,1,1
74,2019-09-24 18:28:00,Женщины,Полезные советы,18-25,1,2
75,2019-09-24 18:28:00,Женщины,Полезные советы,26-30,1,1
76,2019-09-24 18:28:00,Женщины,Психология,18-25,1,1
77,2019-09-24 18:28:00,Женщины,Путешествия,18-25,1,1
78,2019-09-24 18:28:00,Женщины,Россия,31-35,1,1
79,2019-09-24 18:28:00,Женщины,Семейные отношения,18-25,1,2
80,2019-09-24 18:28:00,Женщины,Семейные отношения,31-35,1,1
